index_num,mobiles,Link,img_links,best_buy_links,Summary, k_Display, k_Processor,  k_Front Camera,k_Rear Camera,k_RAM,k_Storage,k_Battery_Capacity,k_OS,design,display,software,performance,battery life,camera,value for money,b_Price,Alternate names,Brand,Model,Price in India,Release date,Launched in India,Form factor,Thickness,Body type,Dimensions (mm),Weight,IP rating,Battery capacity (mAh),Removable battery,Fast charging,Wireless charging,Colours,SAR value,Refresh Rate,Screen size (inches),Touchscreen,Resolution,Protection type,Aspect ratio,Pixels per inch (PPI),Processor,Processor make,RAM,Internal storage,Expandable storage,Expandable storage type,Expandable storage up to (GB),Dedicated microSD slot,Rear camera,No. of Rear Cameras,Rear autofocus,Rear flash,Front camera,No. of Front Cameras,Front autofocus,Front flash,Pop-Up Camera,Operating system,Skin,Face unlock,3D face recognition,Fingerprint sensor,In-Display Fingerprint Sensor,Compass/ Magnetometer,Proximity sensor,Accelerometer,Ambient light sensor,Gyroscope,Barometer,Temperature sensor,Wi-Fi,Wi-Fi standards supported,GPS,Bluetooth,NFC,Infrared,USB OTG,USB Type-C,Micro-USB,Lightning,Headphones,FM,Number of SIMs,Wi-Fi Direct,Mobile High-Definition Link (MHL),Active 4G on both SIM cards,SIM 1 SIM Type,GSM/CDMA,3G,4G/ LTE,5G,Supports 4G in India (Band 40),SIM 2 SIM Type,Pros,Cons
23,Poco X6 Pro,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0csdt6ndq&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/poco-x6-pro-375x800-1704977904.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0csdt6ndq&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Poco X6 Pro mobile was launched on 11th January 2024. The phone comes with a 120 Hz refresh rate 6.67-inch touchscreen display offering a resolution of  1220x2712 pixels. It comes with 8GB, 12GB of RAM. The Poco X6 Pro runs Android 14 and  is powered by a 5000mAh non-removable battery.  The Poco X6 Pro supports proprietary fast charging. As far as the cameras are concerned, the Poco X6 Pro on the rear packs a triple camera setup featuring a 64-megapixel primary  camera;  an 8-megapixel (ultra wide-angle)  camera, and  a 2-megapixel (macro)  camera. It has a single front camera setup for selfies, featuring  a 16-megapixel sensor.The Poco X6 Pro runs HyperOS is based on Android 14 and packs 256GB, 512GB of inbuilt storage that can be expanded via microSD card. The Poco X6 Pro is a dual-SIM (GSM and GSM) mobile that accepts Nano-SIM and Nano-SIM cards. It was launched in Poco Yellow, Racing Grey, and  and Spectre Black colours. It features an IP54 rating for dust and water protection. Connectivity options on the Poco X6 Pro include Wi-Fi  802.11 b/g/n/ac, GPS, NFC, USB Type-C, 3G, 4G (with support for Band 40 used by some LTE networks in India) , and  5G with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  compass/ magnetometer,  gyroscope,  proximity sensor, and  in-display fingerprint sensor.As of 22nd January 2025, Poco X6 Pro price in India starts at Rs. 24,849.",6.67-inch (1220x2712),,16MP,64MP + 8MP + 2MP,"8GB, 12GB","256GB, 512GB",5000mAh,Android 14,8,7.7,8.3,8.3,7.8,8.1,,24849,,Poco,X6 Pro,24849,11th January 2024,,,,,,,IP54,5000,,Proprietary,No,"Poco Yellow, Racing Grey, and Spectre Black",,120 Hz,6.67,Yes,1220x2712 pixels,,,,,MediaTek Dimensity 8300 Ultra,"8GB, 12GB","256GB, 512GB",Yes,microSD,,,64MP + 8MP + 2MP,3,,,16MP,1,,,,Android 14,HyperOS,,,,Yes,Yes,Yes,Yes,,Yes,,,Yes,802.11 b/g/n/ac,Yes,Yes,Yes,,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
24,OnePlus Nord 4,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh4qtr9utymwgd&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/oneplus-nord-4-661x800-1721191031.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh4qtr9utymwgd&pgtyp=product&pgcat=Mobiles&clicked_on=13,"OnePlus Nord 4 mobile was launched on 16th July 2024. The phone comes with a 120 Hz refresh rate 6.74-inch touchscreen display offering a resolution of  1240x2772 pixels (FHD+) at a pixel density of 450 pixels per inch (ppi). OnePlus Nord 4 is powered by  an octa-core Qualcomm Snapdragon 7+ Gen 3 processor. It comes with 8GB, 12GB of RAM. The OnePlus Nord 4 runs Android 14 and  is powered by a 5500mAh non-removable battery.  The OnePlus Nord 4 supports 100W Fast Charging fast charging. As far as the cameras are concerned, the OnePlus Nord 4 on the rear packs a triple camera setup featuring a 50-megapixel primary  camera, and  an 8-megapixel (ultra wide-angle)  camera. The rear camera setup has autofocus. It has a single front camera setup for selfies, featuring  a 16-megapixel sensor.The OnePlus Nord 4 runs OxygenOS 14.1 is based on Android 14 and packs 128GB, 256GB of inbuilt storage. The OnePlus Nord 4 is a dual-SIM (GSM and GSM) mobile that accepts Nano-SIM and Nano-SIM cards. The OnePlus Nord 4 measures 162.60 x 75.00 x 8.00mm (height x width x thickness)  and weighs 199.50 grams. It was launched in Mercurial Silver, Oasis Green, and  and Obsidian Midnight colours. It features an IP54 rating for dust and water protection. Connectivity options on the OnePlus Nord 4 include Wi-Fi,  GPS, Bluetooth v5.40, NFC, Infrared, USB Type-C, 3G, 4G (with support for Band 40 used by some LTE networks in India) , and  5G with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  compass/ magnetometer,  gyroscope,  proximity sensor, and  in-display fingerprint sensor.As of 22nd January 2025, OnePlus Nord 4 price in India starts at Rs. 27,804.",6.74-inch (1240x2772),Qualcomm Snapdragon 7+ Gen 3,16MP,50MP + 8MP,"8GB, 12GB","128GB, 256GB",5500mAh,Android 14,7.9,7.6,8.6,8.2,7.7,8,,27804,,OnePlus,Nord 4,27804,16th July 2024,,Touchscreen,,,162.60 x 75.00 x 8.00,199.5,IP54,5500,,100W Fast Charging,No,"Mercurial Silver, Oasis Green, and Obsidian Midnight",,120 Hz,6.74,Yes,1240x2772 pixels,,,,octa-core,Qualcomm Snapdragon 7+ Gen 3,"8GB, 12GB","128GB, 256GB",No,,,,50MP + 8MP,3,Yes,Yes,16MP,1,,,,Android 14,OxygenOS 14.1,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,"Yes, v 5.40",Yes,Yes,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
25,Motorola Edge 50 Pro,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh2ywhmxuafgdg&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/motoedge50pro5g-db-585x800-1712144217.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh2ywhmxuafgdg&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Motorola's Edge 50 Pro is equipped with a Snapdragon 7 Gen 3 processor, a 50-megapixel triple rear camera setup, and a 4,500mAh battery with up to 125W fast charging support. The phone offers some world first features such as a Pantone validated display and cameras. The Edge 50 Pro has a premium design and is available in three colour options. It is offered with up to 12GB RAM and 256GB internal storage. You also get an IP68 dust and water resistance rating. The phone has a 6.7-inch pOLED curved display with 1.5K resolution, 144Hz refresh rate, and a peak brightness of 2,000 nits. It has a stereo speaker setup with Dolby Atmos support, 3 microphones, and an in-display fingerprint scanner.",6.70-inch,,50MP,50MP + 10MP + 13MP,"8GB, 12GB",256GB,4500mAh,Android 14,7.8,7.5,8.2,8.1,7,7.9,,27999,,Motorola,Edge 50 Pro,27999,3rd April 2024,,Touchscreen,,,161.23 x 72.40 x 8.19,186,IP68,4500,,68W Turbo Charge,,"Black Beauty, Luxe Lavender, Moonlight Pearl",,120 Hz,6.7,Yes,,,,,,Qualcomm Snapdragon 7 Gen 3,"8GB, 12GB",256GB,,,,,50MP + 10MP + 13MP,3,,,50MP,1,,,,Android 14,Hello UI,,,,Yes,Yes,Yes,,Yes,Yes,,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,
26,Poco F6 5G,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobhyuzgxyppp4yq&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Poco-F6-DB-709x800-1716524381.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobhyuzgxyppp4yq&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Poco F6 5G mobile was launched on 23rd May 2024. The phone comes with a 6.67-inch display offering a resolution of  1220x2712 pixels. The display sports Gorilla Glass for protection. The Poco F6 5G runs Android 14 and  is powered by a 5000mAh battery.  The Poco F6 5G supports 90W Fast Charging fast charging. As far as the cameras are concerned, the Poco F6 5G on the rear packs a dual camera setup featuring a 50-megapixel primary  camera, and  an 8-megapixel  camera. It sports a 20-megapixel camera on the front for selfies.The Poco F6 5G runs HyperOS is based on Android 14. The Poco F6 5G measures 160.00 x 74.40 x 7.80mm (height x width x thickness)  and weighs 179.00 grams. It was launched in Black and  Titanium colours. It features an IP64 rating for dust and water protection. Connectivity options on the Poco F6 5G include Wi-Fi  802.11 a/b/g/n/ac. Sensors on the  phone include  accelerometer,  ambient light sensor,  gyroscope,  proximity sensor, and  in-display fingerprint sensor. The Poco F6 5G supports     face unlock.As of 22nd January 2025, Poco F6 5G price in India starts at Rs. 24,999.",6.67-inch (1220x2712),,20MP,50MP + 8MP,,,5000mAh,Android 14,7.7,7.4,8.1,8,7.6,7.8,,24999,,Poco,F6 5G,24999,23rd May 2024,,,,,160.00 x 74.40 x 7.80,179,IP64,5000,,90W Fast Charging,,"Black, Titanium",,,6.67,,1220x2712 pixels,Gorilla Glass,,,,Qualcomm Snapdragon 8s Gen 3,,,,,,,50MP + 8MP,2,,,20MP,,,,,Android 14,HyperOS,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,Yes,802.11 a/b/g/n/ac,,,,,,,,,,,,,,,,,,,,,,,
27,Vivo T3 Pro 5G,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh3xhrhbub7y7u&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/vivo-t3-pro-5g-vivo-db-673x800-1724741429.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh3xhrhbub7y7u&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Vivo T3 Pro 5G mobile was launched on 27th August 2024. The phone comes with a 120 Hz refresh rate 6.77-inch touchscreen display offering a resolution of  1080x2392 pixels (FHD+). It comes with 8GB of RAM. The Vivo T3 Pro 5G runs Android 14 and  is powered by a 5500mAh non-removable battery.  The Vivo T3 Pro 5G supports 80W Fast Charging fast charging. As far as the cameras are concerned, the Vivo T3 Pro 5G on the rear packs a dual camera setup featuring a 50-megapixel primary  camera, and  an 8-megapixel  camera. It has a single front camera setup for selfies, featuring  a 16-megapixel sensor.The Vivo T3 Pro 5G runs Funtouch OS 14 is based on Android 14 and packs 128GB, 256GB of inbuilt storage. The Vivo T3 Pro 5G is a dual-SIM mobile. The Vivo T3 Pro 5G measures 163.72 x 75.00 x 7.49mm (height x width x thickness)  and weighs 184.00 grams. It was launched in Emerald Green and  Sandstone Orange colours. It features an IP64 rating for dust and water protection. Connectivity options on the Vivo T3 Pro 5G include Wi-Fi,  GPS, Bluetooth v5.40, and  USB Type-C with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  compass/ magnetometer,  gyroscope,  proximity sensor, and  in-display fingerprint sensor.As of 22nd January 2025, Vivo T3 Pro 5G price in India starts at Rs. 22,999.",6.77-inch (1080x2392),,16MP,50MP + 8MP,8GB,"128GB, 256GB",5500mAh,Android 14,7.6,7.3,8,7.9,7.8,7.7,,22999,,Vivo,T3 Pro 5G,22999,27th August 2024,,Touchscreen,,,163.72 x 75.00 x 7.49,184,IP64,5500,,80W Fast Charging,,"Emerald Green, Sandstone Orange",,120 Hz,6.77,Yes,1080x2392 pixels,,,,,Qualcomm Snapdragon 7 Gen 3,8GB,"128GB, 256GB",No,,,,50MP + 8MP,2,,Yes,16MP,1,,,,Android 14,Funtouch OS 14,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,"Yes, v 5.40",,,,Yes,,,,,2,,,,,,,,,,,,
28,Nothing Phone 2a,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0cx79zmdb&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Phone-2a-DB-709x800-1709698950.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0cx79zmdb&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Nothing Phone 2a mobile was launched on 5th March 2024. The phone comes with a 120 Hz refresh rate 6.70-inch touchscreen display offering a resolution of  1080x2412 pixels (FHD+) at a pixel density of 394 pixels per inch (ppi). It comes with 8GB, 12GB of RAM. The Nothing Phone 2a runs Android 14 and  is powered by a 5000mAh battery.  The Nothing Phone 2a supports proprietary fast charging. As far as the cameras are concerned, the Nothing Phone 2a on the rear packs a dual camera setup featuring a 50-megapixel primary  camera, and  a 50-megapixel  camera. It has a single front camera setup for selfies, featuring  a 32-megapixel sensor.The Nothing Phone 2a runs Nothing OS 2.5 is based on Android 14 and packs 128GB, 256GB of inbuilt storage. The Nothing Phone 2a measures 161.74 x 76.00 x 8.55mm (height x width x thickness)  and weighs 190.00 grams. It was launched in Black and  White colours. Connectivity options on the Nothing Phone 2a include Wi-Fi  802.11 a/b/g/n/ac, GPS, and  USB Type-C with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  compass/ magnetometer,  gyroscope,  proximity sensor, and  fingerprint sensor. The Nothing Phone 2a supports     face unlock.As of 22nd January 2025, Nothing Phone 2a price in India starts at Rs. 20,699.",6.70-inch (1080x2412),,32MP,50MP + 50MP,"8GB, 12GB","128GB, 256GB",5000mAh,Android 14,8.7,7.2,8.8,7.8,7.5,7.6,,20699,,Nothing,Phone 2a,20699,5th March 2024,,Touchscreen,,,161.74 x 76.00 x 8.55,190,,5000,,Proprietary,,"Black, White",,120 Hz,6.7,Yes,1080x2412 pixels,,,,,,"8GB, 12GB","128GB, 256GB",,,,,50MP + 50MP,2,,,32MP,1,,,,Android 14,Nothing OS 2.5,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,,Yes,802.11 a/b/g/n/ac,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,,
29,Realme 12 Pro+ 5G,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobgwh8srnnzz3dz&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Realme-12-Pro-Plus-5G-DB-709x800-1706525405.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobgwh8srnnzz3dz&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The Realme 12 Pro+ offers a vegan-leather design for its rear panel and also has a very watch-like fluted metal ring around its revamped cameras. The phone isn’t just about a fancy design, but also packs in a solid IP65 rating for dust and water resistance.
Its processor offers more than enough capability to handle day to day tasks and multitasking, but also offers decent gaming performance. The phone also offers the latest Android 14 software but comes loaded with bloatware, which thankfully isn’t intrusive and does not affect the software experience.
Apart from its design, the phone’s biggest highlight are its cameras. While the primary camera performs well in all types of lighting conditions, the telephoto camera is the showstopper, offering excellent capability at native focal lengths in all types of lighting conditions.
Battery life is top notch and the phone easily lasts a day and half with regular use. Charging speeds are also relatively good.",6.70-inch (2400x1080),Qualcomm Snapdragon 7s Gen 2,32MP,50MP + 64MP + 8MP,"8GB, 12GB","128GB, 256GB",5000mAh,Android 14,7.5,7.1,7.9,7.7,7.4,8.5,,24999,,Realme,12 Pro+ 5G,24999,29th January 2024,,Touchscreen,8.75,,,196,IP65,5000,,Proprietary,No,"Navigator Beige, Submarine Blue, Explorer Red",,,6.7,Yes,2400x1080 pixels,,,,octa-core (4x2.40 MHz + 4x1.95 MHz),Qualcomm Snapdragon 7s Gen 2,"8GB, 12GB","128GB, 256GB",No,,,No,50MP + 64MP + 8MP,3,Phase detection autofocus,Yes,32MP,1,No,No,,Android 14,Realme UI 5.0,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,,,Yes,,,,,2,,,,Nano-SIM,,,,,,Nano-SIM,,
30,Samsung Galaxy F55 5G,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0d5vq8wf2&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/samsung-galaxy-f55-5g-samsung-db-628x800-1716799271.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=2-b0d5vq8wf2&pgtyp=product&pgcat=Mobiles&clicked_on=13,"The Samsung Galaxy F55 5G features a sleek vegan leather finish that stands out from the crowd. The display also delivers good results with deep blacks and good viewing angles.  
On the performance front, the handset delivers almost all the tasks that you throw at it whether it be gaming or scrolling your Instagram feed. The major upgrade has to be the 45W fast charging support that allows it to be fully charged in one hour. The interface is user-friendly and offers some interesting set of customisations. The in-display fingerprint sensor works fast and the Always-On Display is a cherry on top.
The cameras are decent, though the low-light performance could have been better. That said, if you are looking for a stylish mid-ranger that offers a decent mix of performance and premium design, then the smartphone sure seems to be an interesting choice.",6.55-inch (1080x2400),,50MP,50MP + 8MP + 2MP,"8GB, 12GB","128GB, 256GB",5000mAh,Android 14,7.4,7,9.3,7.6,7.3,7.5,,19949,,Samsung,Galaxy F55 5G,19949,27th May 2024,,Touchscreen,,,163.90 x 76.50 x 7.80,180,,5000,,45W Fast Charging,,"Apricot Crush, Raisin Black",,120 Hz,6.55,Yes,1080x2400 pixels,,,,,Qualcomm Snapdragon 7 Gen 1,"8GB, 12GB","128GB, 256GB",Yes,microSD,1000,No,50MP + 8MP + 2MP,3,,,50MP,1,,,,Android 14,One UI 6,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,802.11 a/b/g/n/ac/ax,Yes,"Yes, v 5.20",Yes,,,Yes,,,,,2,,,,,,,,,,,,
31,Poco X7 Pro 5G,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh7yz9j6qgzzeq&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/poco-x7-5g-pro-poco-db-600x800-1736436582.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh7yz9j6qgzzeq&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Poco X7 Pro is the all-new mid-range smartphone that's priced under Rs. 30,000. This is the first phone to debut with MediaTek 8400 Ultra processor and packs the largest battery at this price. Poco's new X7 Pro is also the company's first with HyperOS 2.0, based on Android 15. The dual camera setup is decent, and the phone weighs under 200 grams. At its price, the X7 Pro is a great value proposition and is a perfect choice for anyone eyeing anything around this price segment.",6.73-inch,,20MP,50MP + 8MP,"8GB, 12GB",256GB,6550mAh,Android 15,7.3,6.9,8,7.8,8.9,7.4,,27999,,Poco,X7 Pro 5G,27999,9th January 2025,,Touchscreen,,,,,IP69,6550,,90W Fast Charging,,"Nebula Green, Obsidian Black, Poco Yellow",,120 Hz,6.73,Yes,,,,,,MediaTek Dimensity 8400 Ultra,"8GB, 12GB",256GB,,,,,50MP + 8MP,,,,20MP,1,,,,Android 15,HyperOS 2.0,,,,,,,,,,,,Yes,,Yes,"Yes, v 5.30",,,,Yes,,,,,2,,,,,,,,,,,,
32,OnePlus Nord CE 4 Lite 5G,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh25z9cctddn3j&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/oneplus-nord-ce4-lite-oneplus-db-668x800-1719470478.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh25z9cctddn3j&pgtyp=product&pgcat=Mobiles&clicked_on=13,"OnePlus Nord CE 4 Lite 5G mobile was launched on 24th June 2024. The phone comes with a 120 Hz refresh rate 6.67-inch touchscreen display offering a resolution of  1080x2400 pixels (FHD+). It comes with 8GB of RAM. The OnePlus Nord CE 4 Lite 5G runs Android 14 and  is powered by a 5500mAh battery.  The OnePlus Nord CE 4 Lite 5G supports 80W Fast Charging fast charging. As far as the cameras are concerned, the OnePlus Nord CE 4 Lite 5G on the rear packs a dual camera setup featuring a 50-megapixel primary  camera, and  a 2-megapixel  camera. It has a single front camera setup for selfies, featuring  a 16-megapixel sensor.The OnePlus Nord CE 4 Lite 5G runs OxygenOS 14 is based on Android 14 and packs 128GB, 256GB of inbuilt storage. The OnePlus Nord CE 4 Lite 5G measures 162.90 x 75.60 x 8.10mm (height x width x thickness)  and weighs 191.00 grams. It was launched in Mega Blue, Super Silver, and  Ultra Orange colours. Connectivity options on the OnePlus Nord CE 4 Lite 5G include Wi-Fi,  GPS, Bluetooth v5.10, and  USB Type-C. Sensors on the  phone include in-display fingerprint sensor.As of 22nd January 2025, OnePlus Nord CE 4 Lite 5G price in India starts at Rs. 17,490.",6.67-inch (1080x2400),,16MP,50MP + 2MP,8GB,"128GB, 256GB",5500mAh,Android 14,7.2,6.8,8.5,7.5,7.7,7.3,,17490,,OnePlus,Nord CE 4 Lite 5G,17490,24th June 2024,,Touchscreen,,,162.90 x 75.60 x 8.10,191,,5500,,80W Fast Charging,,"Mega Blue, Super Silver, Ultra Orange",,120 Hz,6.67,Yes,1080x2400 pixels,,,,,Qualcomm Snapdragon 695,8GB,"128GB, 256GB",Yes,,,,50MP + 2MP,2,,,16MP,1,,,,Android 14,OxygenOS 14,,,,Yes,,,,,,,,Yes,,Yes,"Yes, v 5.10",,,,Yes,,,,,,,,,,,,,,,,,
33,Redmi Note 14 5G,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh78ktcncezz8f&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/redmi-note-14-5g-xiaomi-db-640x800-1727370299.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh78ktcncezz8f&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Redmi Note 14 5G mobile was launched on 26th September 2024. The phone comes with a 120 Hz refresh rate 6.67-inch touchscreen display offering a resolution of  1080x2400 pixels (FHD+). It comes with 6GB, 8GB, 12GB of RAM. The Redmi Note 14 5G runs Android 14 and  is powered by a 5110mAh battery.  The Redmi Note 14 5G supports 45W Fast Charging fast charging. As far as the cameras are concerned, the Redmi Note 14 5G on the rear packs a dual camera setup featuring a 50-megapixel primary  camera, and  a 2-megapixel  camera. It has a single front camera setup for selfies, featuring  an Unspecified sensor.The Redmi Note 14 5G runs HyperOS is based on Android 14 and packs 128GB, 256GB of inbuilt storage. The Redmi Note 14 5G measures 162.40 x 75.70 x 7.99mm (height x width x thickness)  and weighs 190.00 grams. It was launched in Midnight Black, Phantom Blue, and  Star White colours. It features an IP64 rating for dust and water protection. Connectivity options on the Redmi Note 14 5G include Wi-Fi,  GPS, Bluetooth v5.30, and  USB Type-C. Sensors on the  phone include  accelerometer,  ambient light sensor,  compass/ magnetometer,  gyroscope,  proximity sensor, and  in-display fingerprint sensor.As of 22nd January 2025, Redmi Note 14 5G price in India starts at Rs. 17,444.",6.67-inch (1080x2400),,Unspecified,50MP + 2MP,"6GB, 8GB, 12GB","128GB, 256GB",5110mAh,Android 14,7.1,6.7,7.8,7.4,7.6,7.2,,17444,,Redmi,Note 14 5G,17444,26th September 2024,,Touchscreen,,,162.40 x 75.70 x 7.99,190,IP64,5110,,45W Fast Charging,,"Midnight Black, Phantom Blue, Star White",,120 Hz,6.67,Yes,1080x2400 pixels,,,,,MediaTek Dimensity 7025 Ultra,"6GB, 8GB, 12GB","128GB, 256GB",,,,,50MP + 2MP,2,,,Unspecified,1,,,,Android 14,HyperOS,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,"Yes, v 5.30",,,,Yes,,,,,,,,,,,,,,,,,
34,Realme Narzo 70 Turbo 5G,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh4rzfrw8cgmwv&pgtyp=product&pgcat=Mobiles&clicked_on=13,https://i.gadgets360cdn.com/products/large/Realme-Narzo-70-Turbo-5G-DB-709x800-1725872967.jpg,https://pricee.com/api/redirect/t.php?utm_source=PRICE-IN-INDIA&itemid=1-mobh4rzfrw8cgmwv&pgtyp=product&pgcat=Mobiles&clicked_on=13,"Realme Narzo 70 Turbo 5G mobile was launched on 9th September 2024. The phone comes with a 120 Hz refresh rate 6.67-inch touchscreen display offering a resolution of  2400x1080 pixels (FHD+). Realme Narzo 70 Turbo 5G is powered by  an octa-core MediaTek Dimensity 7300 Energy 5G processor. It comes with 6GB, 8GB, 12GB of RAM. The Realme Narzo 70 Turbo 5G runs Android 14 and  is powered by a 5000mAh battery.  The Realme Narzo 70 Turbo 5G supports 45W Fast Charging fast charging. As far as the cameras are concerned, the Realme Narzo 70 Turbo 5G on the rear packs a dual camera setup featuring a 50-megapixel primary  camera, and  a 2-megapixel  camera. It has a single front camera setup for selfies, featuring  a 16-megapixel sensor.The Realme Narzo 70 Turbo 5G runs Realme UI 5.1 is based on Android 14 and packs 128GB, 256GB of inbuilt storage. The Realme Narzo 70 Turbo 5G is a dual-SIM mobile that accepts Nano-SIM and Nano-SIM cards. The Realme Narzo 70 Turbo 5G measures 161.70 x 74.70 x 7.60mm (height x width x thickness)  and weighs 185.00 grams. It was launched in Turbo Yellow and  Turbo Green and Turbo Purple colours. It features an IP65 rating for dust and water protection. Connectivity options on the Realme Narzo 70 Turbo 5G include Wi-Fi,  GPS, Bluetooth v5.40, USB Type-C, 3G, 4G (with support for Band 40 used by some LTE networks in India) , and  5G with active 4G on both SIM cards. Sensors on the  phone include  accelerometer,  ambient light sensor,  compass/ magnetometer,  gyroscope,  proximity sensor,  temperature sensor, and  in-display fingerprint sensor.As of 22nd January 2025, Realme Narzo 70 Turbo 5G price in India starts at Rs. 15,235.",6.67-inch (2400x1080),MediaTek Dimensity 7300 Energy 5G,16MP,50MP + 2MP,"6GB, 8GB, 12GB","128GB, 256GB",5000mAh,Android 14,7,6.6,7.7,7.3,7.2,7.1,,15235,,Realme,Narzo 70 Turbo 5G,15235,9th September 2024,,Touchscreen,,,161.70 x 74.70 x 7.60,185,IP65,5000,,45W Fast Charging,,"Turbo Yellow, Turbo Green and Turbo Purple",,120 Hz,6.67,Yes,2400x1080 pixels,,,,octa-core,MediaTek Dimensity 7300 Energy 5G,"6GB, 8GB, 12GB","128GB, 256GB",,,,,50MP + 2MP,2,,,16MP,1,,,,Android 14,Realme UI 5.1,,,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,"Yes, v 5.40",,,,Yes,,,,,2,,,,Nano-SIM,,,,Yes,Yes,Nano-SIM,,
